MTime;Miner;Message;BlockNr;Hash
10-24-12:31:32.731;miner10;🔨 mined potential block                 ;286;5e2a51…acd3ce
10-24-12:31:33.163;miner4;🔨 mined potential block                 ;287;4206ac…5ac6c2
10-24-12:31:34.943;miner3;🔨 mined potential block                 ;288;e34654…28a649
10-24-12:31:35.565;miner3;🔨 mined potential block                 ;289;a0ba57…e662ce
10-24-12:31:36.020;miner1;🔨 mined potential block                 ;289;c7ec6d…715993
10-24-12:31:37.639;miner4;🔨 mined potential block                 ;290;e70833…38e6ba
10-24-12:31:38.576;miner1;🔨 mined potential block                 ;291;6015fe…178d0e
10-24-12:31:40.274;miner4;🔨 mined potential block                 ;292;47610b…a576e9
10-24-12:31:40.308;miner4;🔨 mined potential block                 ;293;dd8792…c8d2f4
10-24-12:31:41.251;miner7;🔨 mined potential block                 ;294;c5c544…dd0c39
10-24-12:31:42.026;miner8;🔨 mined potential block                 ;295;5bde72…d0d98a
10-24-12:31:42.166;miner2;🔨 mined potential block                 ;296;7f89d9…9d5f71
10-24-12:31:42.333;miner6;🔨 mined potential block                 ;296;573d42…da6da1
10-24-12:31:43.631;miner8;🔨 mined potential block                 ;296;9e3e6b…960023
10-24-12:31:44.035;miner1;🔨 mined potential block                 ;296;8145f1…237232
10-24-12:31:44.408;miner5;🔨 mined potential block                 ;297;dd8232…780c84
10-24-12:31:44.840;miner4;🔨 mined potential block                 ;298;a67735…5964de
10-24-12:31:48.931;miner3;🔨 mined potential block                 ;299;282e5c…d474f2
10-24-12:31:49.260;miner8;🔨 mined potential block                 ;300;2828c1…1ccb73
10-24-12:31:49.444;miner6;🔨 mined potential block                 ;301;b350ef…3610da
10-24-12:31:49.507;miner2;🔨 mined potential block                 ;301;9532ab…bc4555
10-24-12:31:49.771;miner8;🔨 mined potential block                 ;302;822f3c…667877
10-24-12:31:51.147;miner6;🔨 mined potential block                 ;302;03154a…140adc
10-24-12:31:51.536;miner3;🔨 mined potential block                 ;302;cbcf28…fb674f
10-24-12:31:52.452;miner8;🔨 mined potential block                 ;303;6d2152…b08caf
10-24-12:31:52.938;miner8;🔨 mined potential block                 ;304;4a9b3d…95f04f
10-24-12:31:53.558;miner1;🔨 mined potential block                 ;305;f2821a…97623d
10-24-12:31:54.961;miner4;🔨 mined potential block                 ;306;ec6303…9e5be4
10-24-12:31:55.846;miner10;🔨 mined potential block                 ;307;c65b46…0fcdc8
10-24-12:31:57.680;miner10;🔨 mined potential block                 ;308;ea59e5…4c6633
